UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25,UMAP_26,UMAP_27,UMAP_28,UMAP_29,UMAP_30,UMAP_31,UMAP_32,UMAP_33,UMAP_34,UMAP_35,UMAP_36,UMAP_37,UMAP_38,UMAP_39,UMAP_40,UMAP_41,UMAP_42,UMAP_43,UMAP_44,UMAP_45,UMAP_46,UMAP_47,UMAP_48,UMAP_49,UMAP_50,cluster
13.14385,-2.68825,0.38702354,7.3587637,7.9568124,2.7544603,7.9115105,3.3870401,8.866409,4.499035,3.7964818,5.1837873,2.8887353,3.9827776,5.407709,4.5270734,6.6732035,3.6851604,2.6957579,3.3545358,3.5183372,3.70965,5.6762466,4.1215286,4.4213076,6.1451488,5.463081,2.969716,3.2544901,7.1961637,3.5443125,7.740223,7.1157293,5.761427,6.1737747,5.6622252,5.9684396,4.595865,4.0337443,5.7569184,5.817903,3.7322454,6.325901,6.3225446,3.7538497,5.435488,5.785661,4.817102,4.2744064,3.1542401,0
10.433544,-3.476414,0.053602714,6.479012,6.8670664,2.9634676,6.9787483,1.6332533,8.608798,4.660694,3.565903,5.6282644,3.0447314,4.457701,5.3946624,4.525929,6.884348,4.3352766,3.0819962,3.4598258,3.6440902,3.964779,5.731153,3.9273129,4.7486997,6.0943074,4.683428,3.0732076,3.416618,6.745308,3.2258236,7.672737,6.791667,6.1983533,6.0369344,5.716499,6.7446656,4.6785665,4.6208596,6.0365443,5.624111,3.7822745,6.3438106,6.2417803,4.0340233,5.5109725,5.291336,4.496783,4.207539,3.536255,2
12.680239,-2.0985832,0.16835627,6.887689,7.5856023,2.6074045,7.524177,2.4986148,8.57558,5.0237913,4.1469126,5.0496845,2.8823752,3.925555,5.507183,4.546448,6.777973,3.8635676,2.5852807,3.3305318,3.5537145,3.8564105,5.432147,4.109784,4.533389,6.1648393,5.496805,3.19312,3.4141328,7.4393125,3.3769934,8.101438,6.865922,5.8382797,6.2415667,5.6904287,6.222136,4.4944897,4.2622805,5.924155,5.8630743,3.691669,6.14529,6.159943,3.6490474,5.632483,5.8607664,4.69921,4.319173,3.0748398,0
13.724881,-1.6667135,-0.15334845,7.346939,8.176625,2.7017007,7.9540997,3.211546,8.758096,4.6458254,3.9094384,5.0697875,2.7812328,3.9509604,5.3083086,4.436578,6.6516867,3.5331006,2.7464108,3.1729715,3.5968142,3.6615512,5.7914443,4.1628513,4.4419856,6.1863427,5.525897,2.8627136,3.3066607,7.2460027,3.5175555,7.714745,7.000889,5.764094,6.1187015,5.7511764,6.0301404,4.6515727,4.111872,5.8052444,5.8909035,3.8504617,6.419383,6.2660003,3.6570013,5.4353156,5.7154374,4.7825193,4.423212,3.102191,0
11.875217,-3.1509163,-0.22416852,7.0889845,7.4647655,2.922944,7.4421563,2.5058105,8.789417,4.3908544,3.5100327,5.540869,2.8988836,4.4172406,5.208515,4.449081,6.749953,3.989311,3.1334946,3.3541484,3.6895537,3.7389898,5.96217,4.0363493,4.6135063,6.0594826,4.895829,2.8907807,3.2836275,6.684536,3.4303398,7.3655376,6.931124,6.017725,5.955588,5.7177997,6.450332,4.8403826,4.4016404,5.9362197,5.694795,3.8962517,6.5460534,6.3468685,3.9932926,5.3696637,5.3000503,4.5965295,4.344412,3.4845688,2
10.761797,-3.268518,-0.09438889,6.5614095,6.943927,2.8996072,7.0171347,1.6853783,8.595979,4.714951,3.6512089,5.56567,2.9908,4.435917,5.358883,4.509813,6.8696876,4.2808485,3.0673192,3.4314806,3.6704679,3.9267004,5.7323647,3.9622362,4.7333283,6.077748,4.7658057,3.0911665,3.4107213,6.789063,3.2536917,7.6677713,6.77078,6.154863,6.0268555,5.7164664,6.714532,4.7104325,4.6080275,6.0528665,5.6592727,3.8054953,6.3585157,6.2368712,3.9973927,5.5213623,5.3210535,4.4959054,4.265127,3.499071,2
12.710005,-1.0096695,-0.35254678,6.606094,7.4723353,2.505369,7.3038797,1.9505212,8.258316,5.4600997,4.4807963,4.8678317,2.7939727,3.9131072,5.3918777,4.4776373,6.810459,3.9026332,2.6585503,3.2146096,3.6707363,3.9508336,5.3843374,4.214178,4.6048217,6.100208,5.579077,3.349916,3.5827582,7.5273247,3.34948,8.134965,6.589223,5.83574,6.176467,5.7131915,6.3653717,4.535417,4.498042,6.089532,5.915047,3.7929897,6.1418138,5.9839473,3.5875049,5.7444096,5.799684,4.645462,4.575552,3.0661855,1
10.560309,-3.3407812,-0.054798063,6.517454,6.917009,2.9862497,6.994216,1.6733528,8.581866,4.645758,3.548841,5.631357,3.0267396,4.489074,5.32693,4.496023,6.871803,4.3079157,3.154426,3.4210184,3.6806,3.9523318,5.8025646,3.9502752,4.7543664,6.075441,4.6642017,3.0415294,3.4237156,6.6850486,3.2491517,7.5703483,6.7666836,6.1953278,5.996074,5.726987,6.7521744,4.730815,4.6529517,6.052396,5.6221943,3.8302605,6.401496,6.234811,4.0481052,5.4868636,5.223656,4.491188,4.268966,3.5698373,2
13.45005,-1.4823002,-0.46819565,7.297324,8.039261,2.7426696,7.818894,3.1113603,8.603679,4.711526,3.9689436,5.077288,2.733519,4.106617,5.0766673,4.37158,6.642698,3.6279538,3.007854,3.1698365,3.7225387,3.7158363,5.8975015,4.2853413,4.475715,6.0093684,5.4560843,2.9865806,3.3834994,7.0172296,3.625896,7.38741,6.849045,5.7394104,5.953859,5.6957717,6.0773816,4.8197384,4.285833,5.9153185,5.8471,3.9814773,6.545747,6.1942053,3.7867718,5.4214506,5.513502,4.7823052,4.6760373,3.2716453,0
12.306472,-2.9826663,0.21752675,7.144814,7.650953,2.7347887,7.6873875,2.9354923,8.888027,4.5233645,3.790955,5.282987,2.8747456,4.106672,5.4191375,4.537113,6.7176447,3.8647778,2.7478502,3.4418705,3.530574,3.743783,5.648076,4.084884,4.4743996,6.1019273,5.320029,3.0558496,3.268811,7.1014233,3.4903316,7.7692513,7.0607886,5.8426666,6.1197677,5.6424727,6.114334,4.6135664,4.121363,5.809179,5.784504,3.7360792,6.324323,6.3315086,3.83651,5.466115,5.7286177,4.769557,4.247143,3.2209535,0
13.756167,-1.5985457,-0.23055063,7.366541,8.211862,2.6746573,7.98393,3.2302313,8.790952,4.635082,3.9281688,5.0547247,2.749745,3.9465752,5.301234,4.429588,6.6410384,3.5106518,2.73595,3.1745942,3.5945776,3.638992,5.797364,4.1722083,4.4273767,6.1818414,5.555308,2.861133,3.296515,7.2535915,3.5305183,7.718506,7.009948,5.7498016,6.1044793,5.748635,6.004781,4.657017,4.085716,5.7944255,5.904263,3.8610806,6.4334617,6.276741,3.6520283,5.4316854,5.7330856,4.798089,4.4326134,3.085062,0
13.612993,-2.2098303,0.0033303725,7.261622,7.9263043,2.7103438,7.716557,2.7683995,8.698422,4.7331448,3.8288314,5.1909633,2.8882582,3.9851687,5.4609833,4.4963627,6.7429013,3.6613152,2.6645584,3.1723828,3.596909,3.677972,5.713045,4.0082765,4.5484114,6.3001676,5.3406153,2.8186774,3.282817,7.3145328,3.3246553,7.927876,6.9737535,5.9038706,6.2496066,5.820914,6.3005204,4.605886,4.2170997,5.8782105,5.875905,3.7516444,6.3024774,6.2878714,3.601548,5.493664,5.710003,4.591314,4.22966,3.0883667,0
13.430818,-2.1581109,0.029847912,7.1510916,7.8148713,2.6508114,7.6378627,2.6244574,8.647348,4.8663754,3.9539702,5.134767,2.8836408,3.9510078,5.499517,4.5178566,6.7636456,3.7195811,2.6042056,3.2095942,3.58607,3.723638,5.6028895,4.0251026,4.5529904,6.2788367,5.4002113,2.933542,3.3195133,7.3995824,3.3142154,8.0395,6.930605,5.889685,6.272274,5.7939696,6.3041387,4.5627246,4.2364287,5.9055166,5.8867474,3.7199693,6.231039,6.2477865,3.5845423,5.554572,5.781219,4.5974517,4.239535,3.0560062,0
11.765665,-2.976196,-0.20030645,7.1070485,7.5372458,2.910222,7.5574675,2.8006454,8.815183,4.3619404,3.5968416,5.456697,2.8499725,4.391425,5.1280003,4.4343047,6.7004075,3.9628243,3.168274,3.407335,3.675828,3.7638967,5.9487796,4.1492624,4.5399823,5.953161,5.032741,3.0008225,3.3101947,6.651833,3.572091,7.250108,6.94727,5.9112473,5.882098,5.6354103,6.252948,4.8505163,4.3322196,5.894589,5.6900873,3.930325,6.5798984,6.320058,4.0510716,5.3549433,5.3373785,4.737404,4.4649577,3.5024345,0
13.117867,-2.1549544,0.036360227,7.0984726,7.8034153,2.6499743,7.670298,2.677024,8.708139,4.8147593,3.960215,5.131294,2.8612313,3.9570599,5.48956,4.5168257,6.746592,3.7359006,2.61421,3.2601862,3.5586922,3.736591,5.5949273,4.0521917,4.5219,6.241541,5.425474,2.9742665,3.324399,7.3660336,3.358775,8.014795,6.956579,5.868129,6.231358,5.7574983,6.230299,4.54789,4.1931853,5.8694215,5.875966,3.7279463,6.2462068,6.253016,3.6299288,5.543604,5.7976556,4.6679163,4.254255,3.0687892,0
10.884353,-3.2505841,-0.089261495,6.621162,7.013385,2.9187317,7.074343,1.8021669,8.615777,4.662609,3.6188853,5.5679326,2.9859152,4.4372635,5.333533,4.4993396,6.8530283,4.2443676,3.0893054,3.4187405,3.6731157,3.9099245,5.7720094,3.9735086,4.7189946,6.074074,4.772383,3.0590184,3.3994138,6.7615166,3.279206,7.612159,6.7911334,6.140296,6.012849,5.716933,6.6790915,4.7277703,4.5867224,6.0356483,5.657726,3.8214037,6.3888125,6.2474604,4.004649,5.4960647,5.304552,4.5134797,4.2794247,3.5080369,2
10.76196,-2.7768435,-0.9072685,6.6720915,6.97705,2.9676318,6.960034,1.6461846,8.48706,4.6418133,3.619557,5.6207304,2.8405073,4.7144437,4.93896,4.354108,6.8119392,4.280535,3.5256326,3.3425384,3.8878453,3.8800058,6.077508,4.127842,4.765545,5.855527,4.6255636,3.0831923,3.4559278,6.3563504,3.4247584,7.0488443,6.5951514,6.129727,5.7166386,5.6949573,6.7834373,5.0462565,4.8163238,6.177304,5.6223435,4.0848727,6.6888576,6.205534,4.1798253,5.414091,4.9376607,4.4838696,4.6553726,3.749074,2
13.038946,-0.044500973,-0.9602999,6.588177,7.561128,2.5632458,7.2420588,1.8556622,7.9869003,5.6064997,4.5771546,4.7934484,2.6995678,4.0365276,5.0633836,4.3376846,6.7772546,3.8533618,2.9914796,3.0430439,3.8627825,3.9819093,5.61462,4.3751025,4.6544986,5.960926,5.5420723,3.354452,3.706648,7.3092556,3.451582,7.7225747,6.3569884,5.808678,5.976806,5.7331986,6.4434147,4.753662,4.7403913,6.2301335,5.912837,4.0205007,6.3533497,5.858124,3.646573,5.708187,5.508006,4.6229453,4.955314,3.2199512,1
